County,State,FIPS,State FIPS Code,County FIPS Code,Total Population,Median Household Income,Urban-Rural
Autauga County,Alabama,01001,01,001,59285,69841,Urban
Baldwin County,Alabama,01003,01,003,239945,75019,Urban
Barbour County,Alabama,01005,01,005,24757,44290,Rural
Bibb County,Alabama,01007,01,007,22152,51215,Rural
Blount County,Alabama,01009,01,009,59292,61096,Urban
Bullock County,Alabama,01011,01,011,10157,36723,Rural
Butler County,Alabama,01013,01,013,18807,44881,Rural
Calhoun County,Alabama,01015,01,015,116141,55826,Urban
Chambers County,Alabama,01017,01,017,34450,49295,Urban
Cherokee County,Alabama,01019,01,019,25224,50769,Rural
Chilton County,Alabama,01021,01,021,45500,61873,Urban
Choctaw County,Alabama,01023,01,023,12525,44483,Rural
Clarke County,Alabama,01025,01,025,22802,49167,Rural
Clay County,Alabama,01027,01,027,14188,51852,Rural
Cleburne County,Alabama,01029,01,029,15254,53319,Rural
Coffee County,Alabama,01031,01,031,54231,64672,Urban
Colbert County,Alabama,01033,01,033,57648,56736,Urban
Conecuh County,Alabama,01035,01,035,11411,42266,Rural
Coosa County,Alabama,01037,01,037,10323,57063,Rural
Covington County,Alabama,01039,01,039,37647,50886,Urban
Crenshaw County,Alabama,01041,01,041,13144,49040,Rural
Cullman County,Alabama,01043,01,043,89463,60916,Urban
Dale County,Alabama,01045,01,045,49516,53955,Urban
Dallas County,Alabama,01047,01,047,37536,36810,Urban
DeKalb County,Alabama,01049,01,049,71946,51149,Urban
Elmore County,Alabama,01051,01,051,88669,75553,Urban
Escambia County,Alabama,01053,01,053,36695,44447,Urban
Etowah County,Alabama,01055,01,055,103208,53070,Urban
Fayette County,Alabama,01057,01,057,16173,50733,Rural
Franklin County,Alabama,01059,01,059,31978,51493,Urban
Geneva County,Alabama,01061,01,061,26726,50951,Urban
Greene County,Alabama,01063,01,063,7589,31495,Rural
Hale County,Alabama,01065,01,065,14749,41325,Rural
Henry County,Alabama,01067,01,067,17450,60135,Rural
