species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
Adelie,Torgersen,MALE,39.1,18.7,181,3750
Adelie,Torgersen,FEMALE,39.5,17.4,186,3800
Adelie,Torgersen,FEMALE,40.3,18,195,3250
Adelie,Torgersen,FEMALE,36.7,19.3,193,3450
Adelie,Torgersen,MALE,39.3,20.6,190,3650
Adelie,Torgersen,FEMALE,38.9,17.8,181,3625
Adelie,Torgersen,MALE,39.2,19.6,195,4675
Adelie,Torgersen,FEMALE,41.1,17.6,182,3200
Adelie,Torgersen,MALE,38.6,21.2,191,3800
Adelie,Torgersen,MALE,34.6,21.1,198,4400
Adelie,Torgersen,FEMALE,36.6,17.8,185,3700
Adelie,Torgersen,FEMALE,38.7,19,195,3450
Adelie,Torgersen,MALE,42.5,20.7,197,4500
Adelie,Torgersen,FEMALE,34.4,18.4,184,3325
Adelie,Torgersen,MALE,46,21.5,194,4200
Adelie,Biscoe,FEMALE,37.8,18.3,174,3400
Adelie,Biscoe,MALE,37.7,18.7,180,3600
Adelie,Biscoe,FEMALE,35.9,19.2,189,3800
Adelie,Biscoe,MALE,38.2,18.1,185,3950
Adelie,Biscoe,MALE,38.8,17.2,180,3800
Adelie,Biscoe,FEMALE,35.3,18.9,187,3800
Adelie,Biscoe,MALE,40.6,18.6,183,3550
Adelie,Biscoe,FEMALE,40.5,17.9,187,3200
Adelie,Biscoe,FEMALE,37.9,18.6,172,3150
Adelie,Biscoe,MALE,40.5,18.9,180,3950
Adelie,Dream,FEMALE,39.5,16.7,178,3250
Adelie,Dream,MALE,37.2,18.1,178,3900
Adelie,Dream,FEMALE,39.5,17.8,188,3300
Adelie,Dream,MALE,40.9,18.9,184,3900
Adelie,Dream,FEMALE,36.4,17,195,3325
Adelie,Dream,MALE,39.2,21.1,196,4150
Adelie,Dream,MALE,38.8,20,190,3950
Adelie,Dream,FEMALE,42.2,18.5,180,3550
Adelie,Dream,FEMALE,37.6,19.3,181,3300
Adelie,Dream,MALE,39.8,19.1,184,4650
Adelie,Dream,FEMALE,36.5,18,182,3150
Adelie,Dream,MALE,40.8,18.4,195,3900
Adelie,Dream,FEMALE,36,18.5,186,3100
Adelie,Dream,MALE,44.1,19.7,196,4400
Adelie,Dream,FEMALE,37,16.9,185,3000
Adelie,Dream,MALE,39.6,18.8,190,4600
Adelie,Dream,MALE,41.1,19,182,3425
Adelie,Dream,FEMALE,36,17.9,190,3450
Adelie,Dream,MALE,42.3,21.2,191,4150
Adelie,Biscoe,FEMALE,39.6,17.7,186,3500
Adelie,Biscoe,MALE,40.1,18.9,188,4300
Adelie,Biscoe,FEMALE,35,17.9,190,3450
Adelie,Biscoe,MALE,42,19.5,200,4050
Adelie,Biscoe,FEMALE,34.5,18.1,187,2900
Adelie,Biscoe,MALE,41.4,18.6,191,3700
Adelie,Biscoe,FEMALE,39,17.5,186,3550
Adelie,Biscoe,MALE,40.6,18.8,193,3800
Adelie,Biscoe,FEMALE,36.5,16.6,181,2850
Adelie,Biscoe,MALE,37.6,19.1,194,3750
Adelie,Biscoe,FEMALE,35.7,16.9,185,3150
Adelie,Biscoe,MALE,41.3,21.1,195,4400
Adelie,Biscoe,FEMALE,37.6,17,185,3600
Adelie,Biscoe,MALE,41.1,18.2,192,4050
Adelie,Biscoe,FEMALE,36.4,17.1,184,2850
Adelie,Biscoe,MALE,41.6,18,192,3950
Adelie,Biscoe,FEMALE,35.5,16.2,195,3350
Adelie,Biscoe,MALE,41.1,19.1,188,4100
