DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
19961116;1;1;7;"Igor";"Saviè";"Ing.";"";59;"primátor";"Karlovy Vary";554961;7;7;"A";4435;17.01;17.006020169485;2;0;9301;38.69;38.6864653523001;0;0;""
19961116;1;2;2;"Josef";"Havlíèek";"Mgr.";"";54;"advokát";"Karlovy Vary";554961;2;2;"A";503;1.93;1.9287549369224;0;0;0;0;0;0;0;""
19961116;1;3;47;"Jan";"Blaek";"Ing.";"CSc.";60;"projektant";"Ostrov";555428;47;47;"A";3260;12.5;12.500479312857;0;0;0;0;0;0;0;""
19961116;1;4;53;"Vladimír";"Kulhánek";"";"";57;"podnikatel";"Karlovy Vary";554961;53;53;"A";10885;41.74;41.7385635952298;2;0;14741;61.31;61.3135346476998;1;0;""
19961116;1;5;37;"Karel";"Masnı";"MUDr.";"";54;"lékaø - neurolog";"Karlovy Vary";554961;37;37;"A";767;2.94;2.9410636910924;0;0;0;0;0;0;0;""
19961116;1;6;13;"Petr";"Masák";"Mgr.";"";44;"øeditel";"Karlovy Vary";554961;13;13;"A";3007;11.53;11.5303500901108;0;0;0;0;0;0;0;""
19961116;1;7;80;"Karel";"Rada";"";"";49;"øídící let. provozu";"Karlovy Vary";554961;99;80;"A";2275;8.72;8.723493999003;0;0;0;0;0;0;0;""
19961116;1;8;88;"Jana";"Neuberová";"";"";48;"soukr. podnikatelka";"Dalovice";537918;99;88;"A";947;3.63;3.6312742052992;0;0;0;0;0;0;0;""
19961116;2;1;53;"Josef";"Michalskı";"Ing.";"";48;"ekonom";"Chlum Svaté Maøí";560375;53;53;"A";6926;33.51;33.5139843220749;2;0;9312;44.96;44.963785610816;0;0;""
19961116;2;2;81;"Zdenìk";"Most";"prom. filosof";"";61;"dùchodce";"Habartov";560359;81;81;"A";630;3.05;3.048485435014;0;0;0;0;0;0;0;""
19961116;2;3;1;"Pavel";"Èáslavskı";"";"";53;"øeditel ÈOI";"Praha 2";500089;99;1;"A";1362;6.59;6.5905351785541;0;0;0;0;0;0;0;""
19961116;2;4;7;"Jiøí";"Vyvadil";"JUDr.";"";42;"právník";"Praha 10";500224;7;7;"A";5586;27.03;27.0299041904577;2;0;11398;55.04;55.0362143891839;1;0;""
19961116;2;5;80;"Eva";"Maršíková";"Mgr.";"";45;"øeditelka škol.úøadu";"Staré Sedlo";560642;99;80;"E";0;0;0;0;0;0;0;0;0;0;""
19961116;2;6;47;"Jana";"Strnadová";"";"";59;"dùchodkynì";"Bøezová";560294;47;47;"A";2680;12.97;12.9681602632343;0;0;0;0;0;0;0;""
